s680,s720,s760,s800,l680,l720,l760,l800,Normalized_O2_HHb,Heart_Rate
2348619.0,4379971.0,3798260.0,5551063.0,450481.0,861338.0,676904.0,1009195.0,0.0,65.0
2470039.0,4606775.0,3995825.0,5836417.0,473236.0,903766.0,710828.0,1060084.0,0.0,65.0
2474395.0,4616604.0,4004678.0,5852291.0,474117.0,907660.0,713716.0,1064797.0,0.0,65.0
2472137.0,4611392.0,4000339.0,5845797.0,473427.0,905516.0,713353.0,1064076.0,0.0,65.0
2473796.0,4615621.0,4003827.0,5852406.0,472881.0,907198.0,715489.0,1065607.0,0.0,66.0
2473796.0,4615621.0,4003827.0,5852406.0,472881.0,907198.0,715489.0,1065607.0,0.0,66.0
2475899.0,4617447.0,4005980.0,5856735.0,473834.0,907885.0,715310.0,1066430.0,0.0,66.0
2474393.0,4617698.0,4006318.0,5855992.0,473660.0,907324.0,714198.0,1065056.0,0.0,67.0
2474354.0,4614706.0,4002978.0,5850656.0,472694.0,905431.0,713016.0,1063101.0,0.0,67.0
2476195.0,4615691.0,4006704.0,5855908.0,473409.0,906633.0,714992.0,1065275.0,0.0,67.0
2473060.0,4611618.0,4001509.0,5847058.0,472723.0,905324.0,712410.0,1063209.0,0.0,68.0
2472120.0,4609889.0,3999562.0,5840894.0,472301.0,904995.0,711890.0,1060794.0,0.0,68.0
